"Recorded Crime Offences (Number) by Garda Division, Type of Offence and"
"Quarter"

" "," ","2015Q1","2015Q2","2015Q3","2015Q4"
"1 ,Northern Region"
" ","136 ,Social code offences (n.e.c.)",2,1,1,1
" ","15 ,Offences against government, justice procedures and organisation of crime",30,71,46,51
" ","151 ,Offences against government and its agents",1,1,0,0
" ","152 ,Organisation of crime and conspiracy to commit crime",0,0,0,0
" ","153 ,Perverting the course of justice",0,0,0,0
" ","157 ,Offences while in custody, breach of court orders",29,70,46,51
"45 ,Kildare  Garda Division"
" ","01 ,Homicide offences",1,0,4,0
" ","0111 ,Murder",1,0,1,0
" ","0112 ,Manslaughter",0,0,2,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",0,0,1,0
" ","02 ,Sexual offences",30,26,17,28
" ","021 ,Rape and sexual assault",26,24,15,26
" ","022 ,Other sexual offences",4,2,2,2
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",155,153,188,168
" ","0311 ,Murder-attempt",0,0,0,0
" ","0312 ,Murder-threat",8,7,7,8
" ","033 ,Harassment and related offences",21,8,15,12
" ","034 ,Assault causing harm, poisoning",26,19,31,30
" ","035 ,Other assault",100,119,135,118
" ","04 ,Dangerous or negligent acts",71,71,61,71
" ","0411 ,Dangerous driving causing serious bodily harm",0,0,0,1
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",66,61,55,66
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",3,5,1,1
" ","0421 ,Endangerment with potential for serious harm/death",0,1,0,0
" ","0422 ,Abandoning a child, child neglect and cruelty",0,0,2,0
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,0,0,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",2,4,3,3
" ","05 ,Kidnapping and related offences",0,2,0,1
" ","0511 ,False imprisonment",0,2,0,0
" ","0512 ,Abduction of person under 16 years of age",0,0,0,0
" ","0513 ,Human trafficking offences",0,0,0,1
" ","06 ,Robbery, extortion and hijacking offences",31,13,17,23
" ","0611 ,Robbery of an establishment or institution",18,5,11,12
" ","0612 ,Robbery of cash or goods in transit",2,0,0,0
" ","0613 ,Robbery from the person",9,7,6,11
" ","0621 ,Blackmail or extortion",0,1,0,0
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",2,0,0,0
" ","07 ,Burglary and related offences",502,291,243,346
" ","0711 ,Aggravated burglary",9,1,0,4
" ","0712 ,Burglary (not aggravated)",491,284,242,335
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",2,6,1,7
" ","08 ,Theft and related offences",649,633,700,662
" ","081 ,Theft/taking of vehicle and related offences",71,80,70,61
" ","0821 ,Theft from person",14,11,16,24
" ","0822 ,Theft from shop",169,154,181,203
" ","084 ,Other thefts, handling stolen property",395,388,433,374
" ","09 ,Fraud, deception and related offences",55,39,37,44
" ","10 ,Controlled drug offences",66,84,76,105
" ","1011 ,Importation of drugs",0,0,0,0
" ","1012 ,Cultivation or manufacture of drugs",0,3,1,4
" ","1021 ,Possession of drugs for sale or supply",10,18,13,24
" ","1022 ,Possession of drugs for personal use",56,62,60,76
" ","103 ,Other drug offences",0,1,2,1
" ","11 ,Weapons and Explosives Offences",12,17,23,20
" ","111 ,Explosives, chemical weapons offences",0,0,1,0
" ","1121 ,Discharging a firearm",0,2,2,3
" ","1122 ,Possession of a firearm",3,4,8,2
" ","113 ,Offensive weapons offences (n.e.c.)",9,11,12,11
" ","114 ,Fireworks offences",0,0,0,4
" ","12 ,Damage to property and to the environment",205,227,252,186
" ","1211 ,Arson",21,29,25,19
" ","1212 ,Criminal damage (not arson)",183,198,226,165
" ","1221 ,Litter offences",1,0,1,2
" ","13 ,Public order and other social code offences",149,155,153,141
" ","131 ,Disorderly conduct",121,120,124,109
" ","132 ,Trespass offences",22,26,24,21
" ","133 ,Liquor licensing offences",2,1,2,7
" ","134 ,Prostitution offences",0,2,1,0
" ","135 ,Regulated betting/money, collection/trading offences",1,6,2,1
" ","136 ,Social code offences (n.e.c.)",3,0,0,3
" ","15 ,Offences against government, justice procedures and organisation of crime",64,71,55,55
" ","151 ,Offences against government and its agents",3,1,1,1
" ","152 ,Organisation of crime and conspiracy to commit crime",0,0,0,0
" ","153 ,Perverting the course of justice",0,0,0,0
" ","157 ,Offences while in custody, breach of court orders",61,70,54,54
"5 ,South Eastern Region"
" ","01 ,Homicide offences",2,1,1,0
" ","0111 ,Murder",0,0,0,0
" ","0112 ,Manslaughter",0,0,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",2,1,1,0
" ","02 ,Sexual offences",60,64,99,60
" ","021 ,Rape and sexual assault",56,54,86,55
" ","022 ,Other sexual offences",4,10,13,5
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",492,486,524,508
" ","0311 ,Murder-attempt",0,0,0,0
" ","0312 ,Murder-threat",13,17,22,20
" ","033 ,Harassment and related offences",61,32,37,38
" ","034 ,Assault causing harm, poisoning",88,117,112,104
" ","035 ,Other assault",330,320,353,346
" ","04 ,Dangerous or negligent acts",251,268,253,216
" ","0411 ,Dangerous driving causing serious bodily harm",0,0,1,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",236,251,237,201
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",7,9,7,9
" ","0421 ,Endangerment with potential for serious harm/death",1,3,1,3
" ","0422 ,Abandoning a child, child neglect and cruelty",3,0,3,1
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,0,1,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",4,5,3,2
" ","05 ,Kidnapping and related offences",0,3,2,5
" ","0511 ,False imprisonment",0,3,2,3
" ","0512 ,Abduction of person under 16 years of age",0,0,0,0
" ","0513 ,Human trafficking offences",0,0,0,2
" ","06 ,Robbery, extortion and hijacking offences",25,26,20,26
" ","0611 ,Robbery of an establishment or institution",11,5,6,11
" ","0612 ,Robbery of cash or goods in transit",1,0,0,0
" ","0613 ,Robbery from the person",12,19,14,14
" ","0621 ,Blackmail or extortion",0,2,0,0
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",1,0,0,1
" ","07 ,Burglary and related offences",999,663,653,780
" ","0711 ,Aggravated burglary",11,5,2,6
" ","0712 ,Burglary (not aggravated)",976,652,646,763
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",12,6,5,11
" ","08 ,Theft and related offences",1699,1739,1574,1543
" ","081 ,Theft/taking of vehicle and related offences",126,113,114,86
" ","0821 ,Theft from person",51,22,26,38
" ","0822 ,Theft from shop",635,624,620,654
" ","084 ,Other thefts, handling stolen property",887,980,814,765
" ","09 ,Fraud, deception and related offences",144,106,148,112
" ","10 ,Controlled drug offences",328,470,320,404
" ","1011 ,Importation of drugs",0,0,1,0
" ","1012 ,Cultivation or manufacture of drugs",7,8,8,10
" ","1021 ,Possession of drugs for sale or supply",67,91,51,66
" ","1022 ,Possession of drugs for personal use",246,347,250,313
" ","103 ,Other drug offences",8,24,10,15
" ","11 ,Weapons and Explosives Offences",46,69,47,52
" ","111 ,Explosives, chemical weapons offences",2,1,0,0
" ","1121 ,Discharging a firearm",4,3,3,2
" ","1122 ,Possession of a firearm",6,8,5,6
" ","113 ,Offensive weapons offences (n.e.c.)",32,57,35,37
" ","114 ,Fireworks offences",2,0,4,7
" ","12 ,Damage to property and to the environment",725,718,694,700
" ","1211 ,Arson",70,53,57,74
" ","1212 ,Criminal damage (not arson)",651,664,635,626
" ","1221 ,Litter offences",4,1,2,0
" ","13 ,Public order and other social code offences",926,964,899,942
" ","131 ,Disorderly conduct",810,842,778,819
" ","132 ,Trespass offences",77,74,69,54
" ","133 ,Liquor licensing offences",26,29,34,38
" ","134 ,Prostitution offences",0,2,0,2
" ","135 ,Regulated betting/money, collection/trading offences",3,8,2,7
" ","136 ,Social code offences (n.e.c.)",10,9,16,22
" ","15 ,Offences against government, justice procedures and organisation of crime",182,241,202,176
" ","151 ,Offences against government and its agents",7,7,4,4
" ","152 ,Organisation of crime and conspiracy to commit crime",1,0,0,1
" ","153 ,Perverting the course of justice",5,7,3,3
" ","157 ,Offences while in custody, breach of court orders",169,227,195,168
"51 ,Tipperary Garda Division"
" ","01 ,Homicide offences",0,0,0,0
" ","0111 ,Murder",0,0,0,0
" ","0112 ,Manslaughter",0,0,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",0,0,0,0
" ","02 ,Sexual offences",10,15,24,12
" ","021 ,Rape and sexual assault",8,10,17,12
" ","022 ,Other sexual offences",2,5,7,0
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",105,118,130,108
" ","0311 ,Murder-attempt",0,0,0,0
" ","0312 ,Murder-threat",5,8,9,5
" ","033 ,Harassment and related offences",5,4,6,9
" ","034 ,Assault causing harm, poisoning",21,37,35,25
" ","035 ,Other assault",74,69,80,69
" ","04 ,Dangerous or negligent acts",98,77,80,70
" ","0411 ,Dangerous driving causing serious bodily harm",0,0,1,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",89,73,76,63
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",6,2,1,3
" ","0421 ,Endangerment with potential for serious harm/death",0,0,0,2
" ","0422 ,Abandoning a child, child neglect and cruelty",1,0,0,1
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,0,0,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",2,2,2,1
" ","05 ,Kidnapping and related offences",0,0,0,2
" ","0511 ,False imprisonment",0,0,0,0
" ","0512 ,Abduction of person under 16 years of age",0,0,0,0
" ","0513 ,Human trafficking offences",0,0,0,2
" ","06 ,Robbery, extortion and hijacking offences",3,5,4,8
" ","0611 ,Robbery of an establishment or institution",1,0,2,4
" ","0612 ,Robbery of cash or goods in transit",0,0,0,0
" ","0613 ,Robbery from the person",2,5,2,3
" ","0621 ,Blackmail or extortion",0,0,0,0
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",0,0,0,1
" ","07 ,Burglary and related offences",160,108,112,139
" ","0711 ,Aggravated burglary",0,1,1,1
" ","0712 ,Burglary (not aggravated)",159,106,111,137
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",1,1,0,1
" ","08 ,Theft and related offences",339,361,353,328
" ","081 ,Theft/taking of vehicle and related offences",37,24,26,26
" ","0821 ,Theft from person",9,2,8,5
" ","0822 ,Theft from shop",107,103,123,119
" ","084 ,Other thefts, handling stolen property",186,232,196,178
" ","09 ,Fraud, deception and related offences",34,24,39,24
" ","10 ,Controlled drug offences",127,147,99,124
" ","1011 ,Importation of drugs",0,0,0,0
" ","1012 ,Cultivation or manufacture of drugs",2,2,2,2
" ","1021 ,Possession of drugs for sale or supply",26,27,16,23
" ","1022 ,Possession of drugs for personal use",95,105,78,92
" ","103 ,Other drug offences",4,13,3,7
" ","11 ,Weapons and Explosives Offences",14,22,22,13
" ","111 ,Explosives, chemical weapons offences",0,0,0,0
" ","1121 ,Discharging a firearm",2,0,2,0
" ","1122 ,Possession of a firearm",0,2,4,1
" ","113 ,Offensive weapons offences (n.e.c.)",10,20,14,11
" ","114 ,Fireworks offences",2,0,2,1
" ","12 ,Damage to property and to the environment",134,150,144,166
" ","1211 ,Arson",9,8,8,16
" ","1212 ,Criminal damage (not arson)",124,142,135,150
" ","1221 ,Litter offences",1,0,1,0
" ","13 ,Public order and other social code offences",263,266,189,211
" ","131 ,Disorderly conduct",242,240,167,188
" ","132 ,Trespass offences",12,15,13,9
" ","133 ,Liquor licensing offences",2,9,6,7
" ","134 ,Prostitution offences",0,0,0,1
" ","135 ,Regulated betting/money, collection/trading offences",2,2,1,2
" ","136 ,Social code offences (n.e.c.)",5,0,2,4
" ","15 ,Offences against government, justice procedures and organisation of crime",38,63,42,51
" ","151 ,Offences against government and its agents",0,1,2,1
" ","152 ,Organisation of crime and conspiracy to commit crime",1,0,0,0
" ","153 ,Perverting the course of justice",0,0,1,0
" ","157 ,Offences while in custody, breach of court orders",37,62,39,50
"52 ,Wexford  Garda Division"
" ","01 ,Homicide offences",1,0,1,0
" ","0111 ,Murder",0,0,0,0
" ","0112 ,Manslaughter",0,0,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",1,0,1,0
" ","02 ,Sexual offences",18,13,28,18
" ","021 ,Rape and sexual assault",18,12,24,15
" ","022 ,Other sexual offences",0,1,4,3
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",123,105,98,127
" ","0311 ,Murder-attempt",0,0,0,0
" ","0312 ,Murder-threat",3,2,4,5
" ","033 ,Harassment and related offences",21,10,12,9
" ","034 ,Assault causing harm, poisoning",12,21,10,22
" ","035 ,Other assault",87,72,72,91
" ","04 ,Dangerous or negligent acts",45,66,65,48
" ","0411 ,Dangerous driving causing serious bodily harm",0,0,0,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",44,63,60,47
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",0,1,3,1
" ","0421 ,Endangerment with potential for serious harm/death",1,1,0,0
" ","0422 ,Abandoning a child, child neglect and cruelty",0,0,1,0
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,0,0,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",0,1,1,0
" ","05 ,Kidnapping and related offences",0,0,0,0
" ","0511 ,False imprisonment",0,0,0,0
" ","0512 ,Abduction of person under 16 years of age",0,0,0,0
" ","0513 ,Human trafficking offences",0,0,0,0
" ","06 ,Robbery, extortion and hijacking offences",6,5,3,4
" ","0611 ,Robbery of an establishment or institution",5,2,0,4
" ","0612 ,Robbery of cash or goods in transit",0,0,0,0
" ","0613 ,Robbery from the person",0,3,3,0
" ","0621 ,Blackmail or extortion",0,0,0,0
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",1,0,0,0
" ","07 ,Burglary and related offences",376,195,189,283
" ","0711 ,Aggravated burglary",5,2,1,1
" ","0712 ,Burglary (not aggravated)",369,193,187,279
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",2,0,1,3
" ","08 ,Theft and related offences",452,446,368,385
" ","081 ,Theft/taking of vehicle and related offences",40,33,27,27
" ","0821 ,Theft from person",12,6,5,10
" ","0822 ,Theft from shop",127,132,105,120
" ","084 ,Other thefts, handling stolen property",273,275,231,228
" ","09 ,Fraud, deception and related offences",52,30,38,42
" ","10 ,Controlled drug offences",53,71,54,92
" ","1011 ,Importation of drugs",0,0,1,0
" ","1012 ,Cultivation or manufacture of drugs",3,1,1,2
" ","1021 ,Possession of drugs for sale or supply",15,19,3,18
" ","1022 ,Possession of drugs for personal use",35,50,49,71
" ","103 ,Other drug offences",0,1,0,1
" ","11 ,Weapons and Explosives Offences",12,17,9,8
" ","111 ,Explosives, chemical weapons offences",1,1,0,0
" ","1121 ,Discharging a firearm",0,3,0,0
" ","1122 ,Possession of a firearm",5,3,1,0
" ","113 ,Offensive weapons offences (n.e.c.)",6,10,8,6
" ","114 ,Fireworks offences",0,0,0,2
" ","12 ,Damage to property and to the environment",238,229,166,203
" ","1211 ,Arson",16,14,14,18
" ","1212 ,Criminal damage (not arson)",220,215,152,185
" ","1221 ,Litter offences",2,0,0,0
" ","13 ,Public order and other social code offences",156,160,161,185
" ","131 ,Disorderly conduct",116,127,138,157
" ","132 ,Trespass offences",34,25,16,21
" ","133 ,Liquor licensing offences",6,1,6,3
" ","134 ,Prostitution offences",0,2,0,0
" ","135 ,Regulated betting/money, collection/trading offences",0,2,0,0
" ","136 ,Social code offences (n.e.c.)",0,3,1,4
" ","15 ,Offences against government, justice procedures and organisation of crime",59,64,60,43
" ","151 ,Offences against government and its agents",0,0,1,1
" ","152 ,Organisation of crime and conspiracy to commit crime",0,0,0,0
" ","153 ,Perverting the course of justice",3,3,0,1
" ","157 ,Offences while in custody, breach of court orders",56,61,59,41
"53 ,Kilkenny/Carlow Garda Division"
" ","01 ,Homicide offences",0,1,0,0
" ","0111 ,Murder",0,0,0,0
" ","0112 ,Manslaughter",0,0,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",0,1,0,0
" ","02 ,Sexual offences",14,22,35,11
" ","021 ,Rape and sexual assault",13,19,33,9
" ","022 ,Other sexual offences",1,3,2,2
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",131,125,123,127
" ","0311 ,Murder-attempt",0,0,0,0
" ","0312 ,Murder-threat",1,3,2,4
" ","033 ,Harassment and related offences",23,6,10,9
" ","034 ,Assault causing harm, poisoning",25,24,23,28
" ","035 ,Other assault",82,92,88,86
" ","04 ,Dangerous or negligent acts",56,73,54,45
" ","0411 ,Dangerous driving causing serious bodily harm",0,0,0,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",53,67,51,41
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",1,3,1,3
" ","0421 ,Endangerment with potential for serious harm/death",0,1,1,1
" ","0422 ,Abandoning a child, child neglect and cruelty",1,0,0,0
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,0,1,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",1,2,0,0
" ","05 ,Kidnapping and related offences",0,1,0,1
" ","0511 ,False imprisonment",0,1,0,1
" ","0512 ,Abduction of person under 16 years of age",0,0,0,0
" ","0513 ,Human trafficking offences",0,0,0,0
" ","06 ,Robbery, extortion and hijacking offences",9,6,5,5
" ","0611 ,Robbery of an establishment or institution",2,2,2,1
" ","0612 ,Robbery of cash or goods in transit",1,0,0,0
" ","0613 ,Robbery from the person",6,3,3,4
" ","0621 ,Blackmail or extortion",0,1,0,0
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",0,0,0,0
" ","07 ,Burglary and related offences",237,167,149,162
" ","0711 ,Aggravated burglary",3,2,0,1
" ","0712 ,Burglary (not aggravated)",232,163,146,158
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",2,2,3,3
" ","08 ,Theft and related offences",456,428,408,373
" ","081 ,Theft/taking of vehicle and related offences",28,27,23,13
" ","0821 ,Theft from person",13,7,6,13
" ","0822 ,Theft from shop",150,149,184,171
" ","084 ,Other thefts, handling stolen property",265,245,195,176
" ","09 ,Fraud, deception and related offences",35,31,27,27
" ","10 ,Controlled drug offences",68,127,92,97
" ","1011 ,Importation of drugs",0,0,0,0
" ","1012 ,Cultivation or manufacture of drugs",0,1,4,2
" ","1021 ,Possession of drugs for sale or supply",7,15,7,10
" ","1022 ,Possession of drugs for personal use",58,107,78,82
" ","103 ,Other drug offences",3,4,3,3
" ","11 ,Weapons and Explosives Offences",9,11,8,10
" ","111 ,Explosives, chemical weapons offences",0,0,0,0
" ","1121 ,Discharging a firearm",2,0,1,0
" ","1122 ,Possession of a firearm",1,1,0,0
" ","113 ,Offensive weapons offences (n.e.c.)",6,10,7,9
" ","114 ,Fireworks offences",0,0,0,1
" ","12 ,Damage to property and to the environment",147,129,146,123
" ","1211 ,Arson",10,7,8,8
" ","1212 ,Criminal damage (not arson)",136,122,138,115
" ","1221 ,Litter offences",1,0,0,0
" ","13 ,Public order and other social code offences",293,281,290,306
" ","131 ,Disorderly conduct",259,251,252,270
" ","132 ,Trespass offences",21,17,24,14
" ","133 ,Liquor licensing offences",10,11,11,12
" ","134 ,Prostitution offences",0,0,0,0
" ","135 ,Regulated betting/money, collection/trading offences",1,1,1,1
" ","136 ,Social code offences (n.e.c.)",2,1,2,9
" ","15 ,Offences against government, justice procedures and organisation of crime",47,70,58,49
" ","151 ,Offences against government and its agents",2,1,0,1
" ","152 ,Organisation of crime and conspiracy to commit crime",0,0,0,0
" ","153 ,Perverting the course of justice",1,0,0,1
" ","157 ,Offences while in custody, breach of court orders",44,69,58,47
"54 ,Waterford  Garda Division"
" ","01 ,Homicide offences",1,0,0,0
" ","0111 ,Murder",0,0,0,0
" ","0112 ,Manslaughter",0,0,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",1,0,0,0
" ","02 ,Sexual offences",18,14,12,19
" ","021 ,Rape and sexual assault",17,13,12,19
" ","022 ,Other sexual offences",1,1,0,0
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",133,138,173,146
" ","0311 ,Murder-attempt",0,0,0,0
" ","0312 ,Murder-threat",4,4,7,6
" ","033 ,Harassment and related offences",12,12,9,11
" ","034 ,Assault causing harm, poisoning",30,35,44,29
" ","035 ,Other assault",87,87,113,100
" ","04 ,Dangerous or negligent acts",52,52,54,53
" ","0411 ,Dangerous driving causing serious bodily harm",0,0,0,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",50,48,50,50
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",0,3,2,2
" ","0421 ,Endangerment with potential for serious harm/death",0,1,0,0
" ","0422 ,Abandoning a child, child neglect and cruelty",1,0,2,0
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,0,0,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",1,0,0,1
" ","05 ,Kidnapping and related offences",0,2,2,2
" ","0511 ,False imprisonment",0,2,2,2
" ","0512 ,Abduction of person under 16 years of age",0,0,0,0
" ","0513 ,Human trafficking offences",0,0,0,0
" ","06 ,Robbery, extortion and hijacking offences",7,10,8,9
" ","0611 ,Robbery of an establishment or institution",3,1,2,2
" ","0612 ,Robbery of cash or goods in transit",0,0,0,0
" ","0613 ,Robbery from the person",4,8,6,7
" ","0621 ,Blackmail or extortion",0,1,0,0
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",0,0,0,0
" ","07 ,Burglary and related offences",226,193,203,196
" ","0711 ,Aggravated burglary",3,0,0,3
" ","0712 ,Burglary (not aggravated)",216,190,202,189
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",7,3,1,4
" ","08 ,Theft and related offences",452,504,445,457
" ","081 ,Theft/taking of vehicle and related offences",21,29,38,20
" ","0821 ,Theft from person",17,7,7,10
" ","0822 ,Theft from shop",251,240,208,244
" ","084 ,Other thefts, handling stolen property",163,228,192,183
" ","09 ,Fraud, deception and related offences",23,21,44,19
" ","10 ,Controlled drug offences",80,125,75,91
" ","1011 ,Importation of drugs",0,0,0,0
" ","1012 ,Cultivation or manufacture of drugs",2,4,1,4
" ","1021 ,Possession of drugs for sale or supply",19,30,25,15
" ","1022 ,Possession of drugs for personal use",58,85,45,68
" ","103 ,Other drug offences",1,6,4,4
" ","11 ,Weapons and Explosives Offences",11,19,8,21
" ","111 ,Explosives, chemical weapons offences",1,0,0,0
" ","1121 ,Discharging a firearm",0,0,0,2
" ","1122 ,Possession of a firearm",0,2,0,5
" ","113 ,Offensive weapons offences (n.e.c.)",10,17,6,11
" ","114 ,Fireworks offences",0,0,2,3
" ","12 ,Damage to property and to the environment",206,210,238,208
" ","1211 ,Arson",35,24,27,32
" ","1212 ,Criminal damage (not arson)",171,185,210,176
" ","1221 ,Litter offences",0,1,1,0
" ","13 ,Public order and other social code offences",214,257,259,240
" ","131 ,Disorderly conduct",193,224,221,204
" ","132 ,Trespass offences",10,17,16,10
" ","133 ,Liquor licensing offences",8,8,11,16
" ","134 ,Prostitution offences",0,0,0,1
" ","135 ,Regulated betting/money, collection/trading offences",0,3,0,4
" ","136 ,Social code offences (n.e.c.)",3,5,11,5
" ","15 ,Offences against government, justice procedures and organisation of crime",38,44,42,33
" ","151 ,Offences against government and its agents",5,5,1,1
" ","152 ,Organisation of crime and conspiracy to commit crime",0,0,0,1
" ","153 ,Perverting the course of justice",1,4,2,1
" ","157 ,Offences while in custody, breach of court orders",32,35,39,30
"6 ,Dublin Region"
" ","01 ,Homicide offences",5,10,1,5
" ","0111 ,Murder",4,5,0,2
" ","0112 ,Manslaughter",0,1,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",1,4,1,3
" ","02 ,Sexual offences",202,194,194,183
" ","021 ,Rape and sexual assault",188,173,176,158
" ","022 ,Other sexual offences",14,21,18,25
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",1221,1297,1345,1361
" ","0311 ,Murder-attempt",6,1,1,2
" ","0312 ,Murder-threat",55,53,44,51
" ","033 ,Harassment and related offences",108,91,96,85
" ","034 ,Assault causing harm, poisoning",287,297,298,322
" ","035 ,Other assault",765,855,906,901
" ","04 ,Dangerous or negligent acts",395,387,401,419
" ","0411 ,Dangerous driving causing serious bodily harm",2,1,0,1
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",319,334,350,361
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",30,18,16,18
" ","0421 ,Endangerment with potential for serious harm/death",10,10,14,4
" ","0422 ,Abandoning a child, child neglect and cruelty",25,9,11,18
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,2,1,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",1,0,0,1
" ","0425 ,Endangering traffic offences",8,13,9,16
" ","05 ,Kidnapping and related offences",20,20,15,15
" ","0511 ,False imprisonment",6,11,6,10
" ","0512 ,Abduction of person under 16 years of age",7,7,7,3
" ","0513 ,Human trafficking offences",7,2,2,2
" ","06 ,Robbery, extortion and hijacking offences",489,456,371,469
" ","0611 ,Robbery of an establishment or institution",198,140,118,176
" ","0612 ,Robbery of cash or goods in transit",6,2,1,3
" ","0613 ,Robbery from the person",255,284,236,275
" ","0621 ,Blackmail or extortion",3,8,6,1
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",27,22,10,14
" ","07 ,Burglary and related offences",3627,2572,2554,2848
" ","0711 ,Aggravated burglary",39,27,29,30
" ","0712 ,Burglary (not aggravated)",3488,2436,2417,2708
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",100,109,108,110
" ","08 ,Theft and related offences",9559,10031,9691,9380
" ","081 ,Theft/taking of vehicle and related offences",935,862,824,680
" ","0821 ,Theft from person",975,1005,1114,1421
" ","0822 ,Theft from shop",2542,2798,2522,2401
" ","084 ,Other thefts, handling stolen property",5107,5366,5231,4878
" ","09 ,Fraud, deception and related offences",631,631,524,621
" ","10 ,Controlled drug offences",1512,1785,1805,1492
" ","1011 ,Importation of drugs",6,4,5,2
" ","1012 ,Cultivation or manufacture of drugs",8,10,13,13
" ","1021 ,Possession of drugs for sale or supply",403,550,449,427
" ","1022 ,Possession of drugs for personal use",1047,1165,1259,985
" ","103 ,Other drug offences",48,56,79,65
" ","11 ,Weapons and Explosives Offences",274,291,280,272
" ","111 ,Explosives, chemical weapons offences",2,2,2,6
" ","1121 ,Discharging a firearm",20,15,17,21
" ","1122 ,Possession of a firearm",23,22,18,22
" ","113 ,Offensive weapons offences (n.e.c.)",229,251,240,210
" ","114 ,Fireworks offences",0,1,3,13
" ","12 ,Damage to property and to the environment",2855,2581,2463,2662
" ","1211 ,Arson",129,127,150,154
" ","1212 ,Criminal damage (not arson)",2720,2451,2312,2505
" ","1221 ,Litter offences",6,3,1,3
" ","13 ,Public order and other social code offences",2685,3133,2950,3038
" ","131 ,Disorderly conduct",1818,1985,1953,1628
" ","132 ,Trespass offences",304,332,301,300
" ","133 ,Liquor licensing offences",37,47,32,42
" ","134 ,Prostitution offences",4,7,7,4
" ","135 ,Regulated betting/money, collection/trading offences",31,44,47,32
" ","136 ,Social code offences (n.e.c.)",491,718,610,1032
" ","15 ,Offences against government, justice procedures and organisation of crime",1411,1459,1362,1438
" ","151 ,Offences against government and its agents",8,13,15,15
