"Recorded Crime Offences (Number) by Garda Division, Type of Offence and"
"Quarter"

" "," ","2015Q1","2015Q2","2015Q3","2015Q4"
"1 ,Northern Region"
" ","0112 ,Manslaughter",0,0,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",0,0,0,0
" ","02 ,Sexual offences",16,18,15,13
" ","021 ,Rape and sexual assault",16,17,13,11
" ","022 ,Other sexual offences",0,1,2,2
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",108,148,126,134
" ","0311 ,Murder-attempt",0,0,0,1
" ","0312 ,Murder-threat",4,12,5,7
" ","033 ,Harassment and related offences",9,9,3,9
" ","034 ,Assault causing harm, poisoning",26,26,19,30
" ","035 ,Other assault",69,101,99,87
" ","04 ,Dangerous or negligent acts",32,36,40,52
" ","0411 ,Dangerous driving causing serious bodily harm",0,0,0,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",32,32,38,51
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",0,1,0,0
" ","0421 ,Endangerment with potential for serious harm/death",0,1,0,0
" ","0422 ,Abandoning a child, child neglect and cruelty",0,0,0,0
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,1,0,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",0,1,2,1
" ","05 ,Kidnapping and related offences",2,2,1,1
" ","0511 ,False imprisonment",1,2,1,1
" ","0512 ,Abduction of person under 16 years of age",1,0,0,0
" ","0513 ,Human trafficking offences",0,0,0,0
" ","06 ,Robbery, extortion and hijacking offences",30,22,21,14
" ","0611 ,Robbery of an establishment or institution",13,13,8,4
" ","0612 ,Robbery of cash or goods in transit",1,0,0,0
" ","0613 ,Robbery from the person",16,7,12,8
" ","0621 ,Blackmail or extortion",0,1,1,1
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",0,1,0,1
" ","07 ,Burglary and related offences",296,297,266,207
" ","0711 ,Aggravated burglary",5,1,5,5
" ","0712 ,Burglary (not aggravated)",291,294,258,199
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",0,2,3,3
" ","08 ,Theft and related offences",590,630,595,522
" ","081 ,Theft/taking of vehicle and related offences",86,100,59,45
" ","0821 ,Theft from person",9,10,10,12
" ","0822 ,Theft from shop",187,191,159,183
" ","084 ,Other thefts, handling stolen property",308,329,367,282
" ","09 ,Fraud, deception and related offences",59,39,32,38
" ","10 ,Controlled drug offences",74,59,44,67
" ","1011 ,Importation of drugs",0,0,0,0
" ","1012 ,Cultivation or manufacture of drugs",2,2,4,0
" ","1021 ,Possession of drugs for sale or supply",10,8,8,14
" ","1022 ,Possession of drugs for personal use",62,47,32,53
" ","103 ,Other drug offences",0,2,0,0
" ","11 ,Weapons and Explosives Offences",18,21,14,15
" ","111 ,Explosives, chemical weapons offences",0,1,1,0
" ","1121 ,Discharging a firearm",2,3,0,1
" ","1122 ,Possession of a firearm",0,4,1,1
" ","113 ,Offensive weapons offences (n.e.c.)",15,13,12,12
" ","114 ,Fireworks offences",1,0,0,1
" ","12 ,Damage to property and to the environment",262,282,276,245
" ","1211 ,Arson",22,24,33,20
" ","1212 ,Criminal damage (not arson)",226,249,239,219
" ","1221 ,Litter offences",14,9,4,6
" ","13 ,Public order and other social code offences",157,153,154,195
" ","131 ,Disorderly conduct",124,112,131,177
" ","132 ,Trespass offences",20,34,19,12
" ","133 ,Liquor licensing offences",8,2,2,4
" ","134 ,Prostitution offences",0,1,2,0
" ","135 ,Regulated betting/money, collection/trading offences",1,2,0,2
" ","136 ,Social code offences (n.e.c.)",4,2,0,0
" ","15 ,Offences against government, justice procedures and organisation of crime",45,54,45,50
" ","151 ,Offences against government and its agents",5,3,1,1
" ","152 ,Organisation of crime and conspiracy to commit crime",0,0,0,0
" ","153 ,Perverting the course of justice",0,1,0,0
" ","157 ,Offences while in custody, breach of court orders",40,50,44,49
"2 ,Western Region"
" ","01 ,Homicide offences",2,1,0,1
" ","0111 ,Murder",0,0,0,1
" ","0112 ,Manslaughter",0,0,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",2,1,0,0
" ","02 ,Sexual offences",74,66,67,62
" ","021 ,Rape and sexual assault",67,61,59,52
" ","022 ,Other sexual offences",7,5,8,10
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",446,463,518,519
" ","0311 ,Murder-attempt",0,0,0,0
" ","0312 ,Murder-threat",13,11,9,10
" ","033 ,Harassment and related offences",64,43,46,53
" ","034 ,Assault causing harm, poisoning",71,85,98,93
" ","035 ,Other assault",298,324,365,363
" ","04 ,Dangerous or negligent acts",254,268,234,256
" ","0411 ,Dangerous driving causing serious bodily harm",0,1,0,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",230,245,226,246
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",5,5,2,5
" ","0421 ,Endangerment with potential for serious harm/death",1,4,2,1
" ","0422 ,Abandoning a child, child neglect and cruelty",16,5,0,1
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,1,0,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",2,7,4,3
" ","05 ,Kidnapping and related offences",8,3,3,4
" ","0511 ,False imprisonment",7,3,2,4
" ","0512 ,Abduction of person under 16 years of age",0,0,0,0
" ","0513 ,Human trafficking offences",1,0,1,0
" ","06 ,Robbery, extortion and hijacking offences",25,11,28,22
" ","0611 ,Robbery of an establishment or institution",10,5,6,9
" ","0612 ,Robbery of cash or goods in transit",0,0,0,0
" ","0613 ,Robbery from the person",12,6,20,13
" ","0621 ,Blackmail or extortion",1,0,1,0
