Location,Crime type,Longitude,Latitude
On or near Montgomery Road,Anti-social behaviour,-5.892035,54.577574
On or near George Street,Anti-social behaviour,-6.278889,54.864986
On or near Glenside Park,Anti-social behaviour,-5.977073,54.620007
On or near ,Anti-social behaviour,-5.654131,54.613018
On or near Parkville Court,Anti-social behaviour,-5.939712,54.625226
On or near Drumawill Park,Anti-social behaviour,-7.664019,54.33164
On or near ,Anti-social behaviour,-5.906939,54.55537
On or near ,Anti-social behaviour,-6.666223,55.138523
On or near Linenhall Street,Anti-social behaviour,-6.65275,54.346343
On or near Sawel Place,Anti-social behaviour,-6.057433,54.512032
On or near Earlswood Road,Anti-social behaviour,-5.870731,54.596645
On or near ,Anti-social behaviour,-6.056057,54.505558
On or near Edward Street,Anti-social behaviour,-6.33856,54.178201
On or near Fort Hill Road,Anti-social behaviour,-6.320497,54.174545
On or near ,Anti-social behaviour,-5.742969,54.551927
On or near Pinebank,Anti-social behaviour,-6.366509,54.454036
On or near Moyad Road,Anti-social behaviour,-6.024312,54.091892
On or near Castleburn Avenue,Anti-social behaviour,-5.780597,54.728959
On or near Saul Road,Anti-social behaviour,-5.694349,54.335874
On or near Barr Cregg,Anti-social behaviour,-7.158906,54.915179
On or near Donegall Road,Anti-social behaviour,-5.934882,54.589437
On or near Ederowen Park,Anti-social behaviour,-7.326979,55.033308
On or near Ballyalton Park,Anti-social behaviour,-5.912263,54.689151
On or near Abbot'S Close,Anti-social behaviour,-5.673117,54.648698
On or near Clareville Avenue,Anti-social behaviour,-6.011682,54.752153
On or near ,Anti-social behaviour,-5.876648,54.701704
On or near Park Road,Anti-social behaviour,-5.918262,54.579808
On or near Beechland Drive,Anti-social behaviour,-6.511856,54.868352
On or near ,Anti-social behaviour,-5.893295,54.59182
On or near Spout Road,Anti-social behaviour,-7.432347,54.813588
On or near Ballynakilly Road,Anti-social behaviour,-6.657198,54.499357
On or near Swanston Road North,Anti-social behaviour,-5.97129,54.676147
On or near Divis Street,Anti-social behaviour,-5.934694,54.599272
On or near Lewis Park,Anti-social behaviour,-6.256613,54.861451
On or near Carn Crescent,Anti-social behaviour,-5.959533,54.691376
On or near Spout Road,Anti-social behaviour,-7.432347,54.813588
On or near ,Anti-social behaviour,-5.985613,54.669324
On or near Shore Road,Anti-social behaviour,-5.650237,54.393709
On or near ,Anti-social behaviour,-6.036554,54.50917
On or near Upper Lisburn Road,Anti-social behaviour,-5.985197,54.56121
On or near London Road,Anti-social behaviour,-5.908498,54.589226
On or near Lower Galliagh Road,Anti-social behaviour,-7.326428,55.039108
On or near Abbeydene Manor,Anti-social behaviour,-5.902374,54.664972
On or near Ballysillan Road,Anti-social behaviour,-5.952692,54.632562
On or near ,Anti-social behaviour,-5.612698,54.564701
On or near Abbey Drive,Anti-social behaviour,-7.658799,54.345649
On or near Prince William Road,Anti-social behaviour,-6.062621,54.516275
On or near Elmwood,Anti-social behaviour,-6.339832,54.886722
On or near Trench Park,Anti-social behaviour,-5.993928,54.569163
On or near North Road,Anti-social behaviour,-5.875761,54.594568
On or near Glasvey Gardens,Anti-social behaviour,-6.026226,54.555525
On or near ,Anti-social behaviour,-6.069414,54.506168
On or near Dunmurry Lane,Anti-social behaviour,-5.986833,54.547149
On or near ,Anti-social behaviour,-5.893848,54.533426
On or near Pinefield Close,Anti-social behaviour,-7.266531,54.611278
On or near Carnany Avenue,Anti-social behaviour,-6.491607,55.07035
On or near Dundela Avenue,Anti-social behaviour,-5.875501,54.59955
On or near Staffa Drive,Anti-social behaviour,-6.251839,54.858759
On or near Garvaghy Road,Anti-social behaviour,-6.445013,54.42828
On or near Lismara,Anti-social behaviour,-6.382252,54.44582
On or near The Point,Anti-social behaviour,-7.634071,54.342405
On or near Lettergreen Road,Anti-social behaviour,-7.386675,54.213454
On or near London Road,Anti-social behaviour,-5.908498,54.589226
On or near Willowbrook Grove,Anti-social behaviour,-5.654599,54.639041
On or near Upper Galliagh Road,Anti-social behaviour,-7.34522,55.029141
On or near Gransha Road,Anti-social behaviour,-5.805902,54.586403
On or near Evish Grove,Anti-social behaviour,-7.45461,54.823589
On or near Arden Place,Anti-social behaviour,-7.29318,54.996171
On or near Shanlieve,Anti-social behaviour,-6.274376,54.851418
On or near Beechland Park,Anti-social behaviour,-6.508942,54.868792
On or near ,Anti-social behaviour,-5.911864,54.593292
On or near Carncome Road,Anti-social behaviour,-6.208706,54.805896
On or near Maine Park,Anti-social behaviour,-6.321748,54.860644
On or near ,Anti-social behaviour,-6.654133,54.352962
On or near Orior Road,Anti-social behaviour,-6.349064,54.182137
On or near ,Anti-social behaviour,-5.923238,54.596012
On or near Tullyah Road,Anti-social behaviour,-6.485688,54.220949
On or near Newtownards Road,Anti-social behaviour,-5.709638,54.559153
On or near ,Anti-social behaviour,-5.671351,54.646795
On or near Madam'S Bank Road,Anti-social behaviour,-7.279279,55.010695
On or near Liska Avenue,Anti-social behaviour,-6.349827,54.16106
On or near Dunluce Street,Anti-social behaviour,-6.652043,55.20371
On or near Stannus Place,Anti-social behaviour,-6.037107,54.510185
On or near Moat Road,Anti-social behaviour,-6.269966,54.859136
On or near Glenburn Road,Anti-social behaviour,-5.810977,54.827682
On or near High Street,Anti-social behaviour,-6.334826,54.17469
On or near Mount Aboo Park,Anti-social behaviour,-5.982879,54.560561
On or near Priory Crescent,Anti-social behaviour,-6.332151,54.166962
On or near Churchill Park,Anti-social behaviour,-6.448511,54.432341
On or near John Street,Anti-social behaviour,-5.758564,54.3963
On or near Coronation Road,Anti-social behaviour,-5.79409,54.723222
On or near ,Anti-social behaviour,-5.987895,54.559485
On or near ,Anti-social behaviour,-5.906322,54.539357
On or near Abercorn Road,Anti-social behaviour,-7.323869,54.991405
On or near Abbot Crescent Mews,Anti-social behaviour,-5.664767,54.594642
On or near Alliance Drive,Anti-social behaviour,-5.960742,54.620245
On or near Campsie Drive,Anti-social behaviour,-7.296293,54.600549
On or near ,Anti-social behaviour,-6.653272,54.347777
On or near Parkmore Drive,Anti-social behaviour,-6.290441,54.868428
On or near Cusher Green,Anti-social behaviour,-6.473061,54.253171
On or near Sallys Wood,Anti-social behaviour,-7.633988,54.469206
On or near Trasna Way,Anti-social behaviour,-7.447432,54.24803
On or near ,Anti-social behaviour,-7.624643,54.342798
On or near Blackstaff Road,Anti-social behaviour,-5.978141,54.580374
On or near Barnewall Place,Anti-social behaviour,-7.311483,54.990302
On or near Park Lane,Anti-social behaviour,-5.939954,54.581221
On or near Hardinge Place,Anti-social behaviour,-5.929284,54.609818
On or near Castlehume Gardens,Anti-social behaviour,-5.927368,54.550951
On or near Mandeville Drive,Anti-social behaviour,-6.410718,54.35364
On or near Main Street,Anti-social behaviour,-6.52177,55.201527
On or near ,Anti-social behaviour,-6.036554,54.50917
On or near Irvines Crescent,Anti-social behaviour,-7.612882,54.355652
On or near Drumhaw Park,Anti-social behaviour,-7.44792,54.256262
On or near ,Anti-social behaviour,-5.934916,54.590911
On or near Willow Park,Anti-social behaviour,-5.63465,54.664046
On or near James Street,Anti-social behaviour,-6.275476,54.86067
On or near Coyles Place,Anti-social behaviour,-5.925568,54.590059
On or near Rathvarna Avenue,Anti-social behaviour,-6.077346,54.522368
On or near Ajax Court,Anti-social behaviour,-6.215958,54.722494
On or near Woodburn Road,Anti-social behaviour,-5.843492,54.728612
On or near Tullyneil Road,Anti-social behaviour,-7.117727,54.559384
On or near Ballyemon Road,Anti-social behaviour,-6.062801,55.080291
On or near Abbeydale,Anti-social behaviour,-7.2925,54.997514
On or near Royal Avenue,Anti-social behaviour,-5.930446,54.599424
On or near ,Anti-social behaviour,-5.657095,54.644669
On or near Queen Street,Anti-social behaviour,-6.278575,54.861774
On or near ,Anti-social behaviour,-5.894394,54.20413
On or near John Street,Anti-social behaviour,-6.320496,54.749072
On or near Richmond Gardens,Anti-social behaviour,-5.960073,54.683092
On or near ,Anti-social behaviour,-5.969598,54.691096
On or near ,Anti-social behaviour,-5.955547,54.595727
On or near William Street,Anti-social behaviour,-5.530804,54.640343
On or near English Street,Anti-social behaviour,-5.717713,54.328824
On or near Bankmore Street,Anti-social behaviour,-5.930439,54.592551
On or near Winchester Park,Anti-social behaviour,-7.279915,54.999632
