Off_Name,Add_1,Add_2,Add_3,County,Gender,Attendance Time,Irish Language,Fee,Ethos,Number of Females 2014,Number of Males 2014,xcoord,ycoord,Long,Lat,Roll_No
Gaelchol�iste Chiarra�,Tobar Mhaigh Dor,Tr� L�,Co Chiarra�,Kerry,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,144,171,84053,114073,84053,114073,70560K
Scoil Aireagail,Ballyhale,Kilkenny,,Kilkenny,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,96,137,253518,136612,253518,136612,70570N
Duiske College,Graignamanagh,Co Kilkenny,,Kilkenny,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,60,77,270792,143637,270792,143637,70590T
Col�iste Mhuire,Johnstown,Co Kilkenny,,Kilkenny,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,196,264,229803,165970,229803,165970,70600T
City Vocational School,"New Street,",Kilkenny,,Kilkenny,Mixed,Day,Some pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,227,185,250510,155392,250510,155392,70610W
Col�iste Cois Si�ire,Mooncoin,Co Kilkenny,,Kilkenny,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,52,93,251450,115622,251450,115622,70620C
Grennan College,Ladywell St,Thomastown,Co Kilkenny,Kilkenny,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,200,191,258244,142181,258244,142181,70640I
Col�iste Pobail Osra�,B�thar Urmhumhan,Cill Chainnigh,,Kilkenny,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,87,92,250617,155505,250617,155505,70641K
Athy Community College,Tomard,Athy,Co Kildare,Kildare,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,163,176,268585,193382,268585,193382,70650L
Curragh Post-Primary School,McSwiney Road,Curragh,Co Kildare,Kildare,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,77,82,278486,211422,278486,211422,70660O
Colaiste Lorcain,Castledermot,Co. Kildare,,Kildare,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,164,176,278215,184837,278215,184837,70670R
St Conleth's Community College,Station Road,Newbridge,Co Kildare,Kildare,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,266,237,280219,215313,280219,215313,70680U
