nome,provincia,gml_id,civico,istat,cap,comune,provincia,regione,lon,lat
Via Poerio,BARI,IN.NUMERICIVICI.2012.808810,24,16072043,70038,TERLIZZI,BARI,PUGLIA,16.544111,41.12933
Via Giannone,BARI,IN.NUMERICIVICI.2012.808834,4,16072043,70038,TERLIZZI,BARI,PUGLIA,16.540877,41.131761
Via Verdi,BARI,IN.NUMERICIVICI.2012.808851,1,16072043,70038,TERLIZZI,BARI,PUGLIA,16.537506,41.129799
Via M. Bisceglia,BARI,IN.NUMERICIVICI.2012.808963,35,16072043,70038,TERLIZZI,BARI,PUGLIA,16.546367,41.13104
Corso Dante,BARI,IN.NUMERICIVICI.2012.808968,60,16072043,70038,TERLIZZI,BARI,PUGLIA,16.541801,41.128778
Via Tiziano,BARI,IN.NUMERICIVICI.2012.808977,34,16072043,70038,TERLIZZI,BARI,PUGLIA,16.543318,41.127779
Via Curiazi,BARI,IN.NUMERICIVICI.2012.809021,45,16072043,70038,TERLIZZI,BARI,PUGLIA,16.547023,41.12981
Via Fermi,BARI,IN.NUMERICIVICI.2012.809039,7,16072043,70038,TERLIZZI,BARI,PUGLIA,16.544755,41.128721
Corso Garibaldi,BARI,IN.NUMERICIVICI.2012.809061,105,16072043,70038,TERLIZZI,BARI,PUGLIA,16.540286,41.130265
Via Metastasio,BARI,IN.NUMERICIVICI.2012.809153,52,16072043,70038,TERLIZZI,BARI,PUGLIA,16.543017,41.127277
Primo Vico San Francesco,BARI,IN.NUMERICIVICI.2012.809303,2,16072043,70038,TERLIZZI,BARI,PUGLIA,16.54064,41.128721
Corso Dante,BARI,IN.NUMERICIVICI.2012.809399,88,16072043,70038,TERLIZZI,BARI,PUGLIA,16.541302,41.128718
Viale delle Mimose,BARI,IN.NUMERICIVICI.2012.809479,25,16072043,70038,TERLIZZI,BARI,PUGLIA,16.539964,41.132983
Via Pisciniello,BARI,IN.NUMERICIVICI.2012.809512,17,16072043,70038,TERLIZZI,BARI,PUGLIA,16.540608,41.127454
Via 20 Settembre,BARI,IN.NUMERICIVICI.2012.809513,10,16072043,70038,TERLIZZI,BARI,PUGLIA,16.551448,41.130084
Via Cadorna,BARI,IN.NUMERICIVICI.2012.809572,12,16072043,70038,TERLIZZI,BARI,PUGLIA,16.543435,41.133295
Via Cialdini,BARI,IN.NUMERICIVICI.2012.809641,47,16072043,70038,TERLIZZI,BARI,PUGLIA,16.544519,41.128593
Via Torre Lops,BARI,IN.NUMERICIVICI.2012.809696,3,16072043,70038,TERLIZZI,BARI,PUGLIA,16.534795,41.128962
Via Pietro Nenni,BARI,IN.NUMERICIVICI.2012.809699,21,16072043,70038,TERLIZZI,BARI,PUGLIA,16.552811,41.132036
Via Redipuglia,BARI,IN.NUMERICIVICI.2012.809706,02-Apr,16072043,70038,TERLIZZI,BARI,PUGLIA,16.547948,41.128678
Via Medici,BARI,IN.NUMERICIVICI.2012.809766,27,16072043,70038,TERLIZZI,BARI,PUGLIA,16.545048,41.129744
Via Savoia,BARI,IN.NUMERICIVICI.2012.809778,17,16072043,70038,TERLIZZI,BARI,PUGLIA,16.542897,41.130613
Via Genova,BARI,IN.NUMERICIVICI.2012.809779,38,16072043,70038,TERLIZZI,BARI,PUGLIA,16.539137,41.131546
Via Albimonti,BARI,IN.NUMERICIVICI.2012.809813,16,16072043,70038,TERLIZZI,BARI,PUGLIA,16.541006,41.13
Via Leopardi,BARI,IN.NUMERICIVICI.2012.809822,14,16072043,70038,TERLIZZI,BARI,PUGLIA,16.5428,41.132085
Via Benso,BARI,IN.NUMERICIVICI.2012.809846,30,16072043,70038,TERLIZZI,BARI,PUGLIA,16.54326,41.131936
Via Rosmini,BARI,IN.NUMERICIVICI.2012.809901,10,16072043,70038,TERLIZZI,BARI,PUGLIA,16.541158,41.131176
Via Antonio Gramsci,BARI,IN.NUMERICIVICI.2012.809912,19,16072043,70038,TERLIZZI,BARI,PUGLIA,16.551261,41.133702
Via Quarto,BARI,IN.NUMERICIVICI.2012.809917,38,16072043,70038,TERLIZZI,BARI,PUGLIA,16.553145,41.129159
Via Donizetti,BARI,IN.NUMERICIVICI.2012.809978,40,16072043,70038,TERLIZZI,BARI,PUGLIA,16.538259,41.129408
Via Volpe Angarano,BARI,IN.NUMERICIVICI.2012.810039,12,16072043,70038,TERLIZZI,BARI,PUGLIA,16.542022,41.130203
Via Pisa,BARI,IN.NUMERICIVICI.2012.810056,45,16072043,70038,TERLIZZI,BARI,PUGLIA,16.538717,41.131414
Via Bixio,BARI,IN.NUMERICIVICI.2012.810093,15,16072043,70038,TERLIZZI,BARI,PUGLIA,16.544545,41.129151
Via Farini,BARI,IN.NUMERICIVICI.2012.810130,113,16072043,70038,TERLIZZI,BARI,PUGLIA,16.54695,41.128762
Via Siena,BARI,IN.NUMERICIVICI.2012.810197,26,16072043,70038,TERLIZZI,BARI,PUGLIA,16.537616,41.131097
Via Settembrini,BARI,IN.NUMERICIVICI.2012.810223,59,16072043,70038,TERLIZZI,BARI,PUGLIA,16.545847,41.131402
Via Trento,BARI,IN.NUMERICIVICI.2012.810293,13,16072043,70038,TERLIZZI,BARI,PUGLIA,16.546427,41.128249
Via Ferraris,BARI,IN.NUMERICIVICI.2012.810314,2,16072043,70038,TERLIZZI,BARI,PUGLIA,16.542159,41.132164
Via Millico,BARI,IN.NUMERICIVICI.2012.810320,38,16072043,70038,TERLIZZI,BARI,PUGLIA,16.538088,41.128717
Via Pitagora,BARI,IN.NUMERICIVICI.2012.810338,7,16072043,70038,TERLIZZI,BARI,PUGLIA,16.54351,41.131692
Via Cialdini,BARI,IN.NUMERICIVICI.2012.810366,34,16072043,70038,TERLIZZI,BARI,PUGLIA,16.54449,41.128662
Via Manin,BARI,IN.NUMERICIVICI.2012.810394,6,16072043,70038,TERLIZZI,BARI,PUGLIA,16.545253,41.130024
Via De Amicis,BARI,IN.NUMERICIVICI.2012.810428,18,16072043,70038,TERLIZZI,BARI,PUGLIA,16.542535,41.127417
Corso Dante,BARI,IN.NUMERICIVICI.2012.810490,34,16072043,70038,TERLIZZI,BARI,PUGLIA,16.542313,41.128985
Via La Mura,BARI,IN.NUMERICIVICI.2012.810502,10,16072043,70038,TERLIZZI,BARI,PUGLIA,16.54647,41.131241
Via Farini,BARI,IN.NUMERICIVICI.2012.810508,2,16072043,70038,TERLIZZI,BARI,PUGLIA,16.546946,41.130117
Via 20 Settembre,BARI,IN.NUMERICIVICI.2012.810560,62,16072043,70038,TERLIZZI,BARI,PUGLIA,16.551489,41.128537
Via De Cristoforis,BARI,IN.NUMERICIVICI.2012.810606,30,16072043,70038,TERLIZZI,BARI,PUGLIA,16.541452,41.129197
Vico Ospedale,BARI,IN.NUMERICIVICI.2012.810694,4,16072043,70038,TERLIZZI,BARI,PUGLIA,16.541082,41.129174
