Latitude,Longitude,Number of casualties,Time of accident
53.955449,-1.091132,1,08:20:00
53.926483,-1.093924,1,14:56:00
53.955503,-1.172024,1,16:15:00
53.972377,-1.082074,1,12:45:00
53.954643,-1.092765,1,19:34:00
53.954169,-1.059142,1,00:05:00
53.958267,-1.091726,1,17:45:00
53.941124,-1.10584,1,08:40:00
54.016009,-1.072002,1,14:45:00
53.990249,-1.105169,1,06:55:00
53.969609,-0.985938,1,08:06:00
53.939885,-1.074012,1,18:30:00
53.948631,-1.074001,1,09:00:00
53.987246,-1.107506,2,12:50:00
53.959753,-1.081482,2,20:55:00
53.928627,-1.069814,1,14:10:00
53.938124,-1.108555,1,15:05:00
53.954424,-1.064181,1,17:30:00
53.973325,-1.148588,1,17:43:00
53.963285,-1.084971,1,13:15:00
53.953249,-1.030422,1,21:10:00
53.935682,-1.143444,1,12:15:00
53.954378,-1.093274,1,10:52:00
53.961897,-1.079728,1,13:55:00
53.963008,-1.078164,1,20:30:00
53.971022,-0.979821,1,17:27:00
53.953881,-1.082312,1,16:30:00
53.956399,-1.047814,1,20:05:00
53.928043,-1.085133,1,00:01:00
53.919193,-1.061132,1,00:55:00
53.91266,-1.106037,1,13:50:00
53.986283,-1.059044,1,17:20:00
53.931664,-0.971657,1,16:05:00
53.970165,-1.097383,2,11:55:00
53.904841,-1.049961,1,00:50:00
53.951237,-1.072785,1,18:25:00
53.968338,-1.146311,2,18:10:00
53.95914,-1.088369,1,18:52:00
53.969829,-1.133551,1,07:00:00
53.953489,-1.12368,1,15:45:00
53.96517,-1.072857,1,17:18:00
53.961239,-1.085473,1,16:45:00
53.993849,-1.058751,1,17:30:00
53.965588,-1.071126,1,00:45:00
53.944969,-1.122624,1,15:40:00
53.968541,-1.130727,1,12:15:00
53.962856,-1.071201,1,10:00:00
53.920354,-1.148037,2,06:47:00
53.957137,-1.004758,1,16:12:00
53.940754,-1.060876,1,16:40:00
53.944091,-1.073919,1,17:30:00
53.97464,-1.074797,1,18:30:00
53.962862,-1.077893,1,16:30:00
53.952565,-1.072451,1,12:05:00
53.954757,-1.067663,1,17:18:00
53.944951,-1.122579,1,19:00:00
53.952333,-1.084373,1,12:50:00
53.965599,-1.083122,1,17:25:00
53.92867,-1.114849,2,15:00:00
53.956167,-1.165351,1,17:31:00
53.949183,-1.053784,2,19:00:00
53.951964,-1.061066,1,21:30:00
53.92171,-1.135324,1,09:37:00
53.975142,-1.162822,1,17:50:00
53.990455,-1.103914,4,20:05:00
53.989213,-1.041865,1,17:05:00
53.957294,-1.086703,1,22:30:00
54.000098,-0.99461,2,17:30:00
53.971553,-1.077716,1,09:10:00
53.949081,-1.05339,1,18:47:00
53.976547,-1.090322,1,08:03:00
53.955872,-1.123935,1,10:24:00
53.968039,-1.081361,1,10:30:00
53.933847,-1.111114,1,09:30:00
53.953999,-1.1027,1,13:30:00
53.948322,-1.132549,1,15:30:00
53.957517,-1.081775,1,08:35:00
