"row ID","Sum(Students)","new column (#1)","Sum(Census_2011)"
"Row0_Row4_Row1",44741,7322.0,273051
"Row0_Row4_Row2",44741,7322.0,273051
"Row0_Row4_Row3",44741,7322.0,273051
"Row0_Row4_Row4",44741,7322.0,273051
"Row0_Row4_Row5",44741,7322.0,273051
"Row0_Row4_Row6",44741,7322.0,273051
"Row0_Row4_Row7",44741,7322.0,273051
"Row0_Row4_Row8",44741,7322.0,273051
"Row0_Row4_Row9",44741,7322.0,273051
"Row0_Row4_Row10",44741,7322.0,273051
"Row0_Row4_Row11",44741,7322.0,273051
"Row0_Row4_Row12",44741,7322.0,273051
"Row0_Row4_Row13",44741,7322.0,273051
"Row0_Row4_Row14",44741,7322.0,273051
"Row0_Row4_Row15",44741,7322.0,273051
"Row0_Row4_Row16",44741,7322.0,273051
"Row0_Row4_Row17",44741,7322.0,273051
"Row0_Row4_Row18",44741,7322.0,273051
"Row0_Row4_Row19",44741,7322.0,273051
"Row0_Row4_Row20",44741,7322.0,273051
"Row0_Row4_Row21",44741,7322.0,273051
"Row0_Row4_Row22",44741,7322.0,273051
"Row0_Row4_Row23",44741,7322.0,273051
"Row0_Row4_Row24",44741,7322.0,273051
"Row0_Row4_Row25",44741,7322.0,273051
"Row0_Row4_Row26",44741,7322.0,273051
"Row0_Row4_Row27",44741,7322.0,273051
"Row0_Row4_Row28",44741,7322.0,273051
"Row0_Row4_Row29",44741,7322.0,273051
"Row0_Row4_Row30",44741,7322.0,273051
"Row0_Row4_Row31",44741,7322.0,273051
"Row0_Row4_Row32",44741,7322.0,273051
"Row0_Row4_Row33",44741,7322.0,273051
"Row0_Row4_Row34",44741,7322.0,273051
"Row0_Row4_Row35",44741,7322.0,273051
"Row0_Row4_Row36",44741,7322.0,273051
"Row0_Row4_Row37",44741,7322.0,273051
"Row0_Row4_Row38",44741,7322.0,273051
"Row0_Row4_Row39",44741,7322.0,273051
"Row0_Row4_Row40",44741,7322.0,273051
"Row0_Row4_Row41",44741,7322.0,273051
"Row0_Row5_Row0",44741,7322.0,273051
"Row0_Row5_Row1",44741,7322.0,273051
"Row0_Row5_Row2",44741,7322.0,273051
"Row0_Row5_Row3",44741,7322.0,273051
"Row0_Row5_Row4",44741,7322.0,273051
"Row0_Row5_Row5",44741,7322.0,273051
"Row0_Row5_Row6",44741,7322.0,273051
"Row0_Row5_Row7",44741,7322.0,273051
"Row0_Row5_Row8",44741,7322.0,273051
"Row0_Row5_Row9",44741,7322.0,273051
"Row0_Row5_Row10",44741,7322.0,273051
"Row0_Row5_Row11",44741,7322.0,273051
"Row0_Row5_Row12",44741,7322.0,273051
"Row0_Row5_Row13",44741,7322.0,273051
"Row0_Row5_Row14",44741,7322.0,273051
"Row0_Row5_Row15",44741,7322.0,273051
"Row0_Row5_Row16",44741,7322.0,273051
"Row0_Row5_Row17",44741,7322.0,273051
"Row0_Row5_Row18",44741,7322.0,273051
"Row0_Row5_Row19",44741,7322.0,273051
"Row0_Row5_Row20",44741,7322.0,273051
"Row0_Row5_Row21",44741,7322.0,273051
"Row0_Row5_Row22",44741,7322.0,273051
"Row0_Row5_Row23",44741,7322.0,273051
"Row0_Row5_Row24",44741,7322.0,273051
"Row0_Row5_Row25",44741,7322.0,273051
"Row0_Row5_Row26",44741,7322.0,273051
"Row0_Row5_Row27",44741,7322.0,273051
"Row0_Row5_Row28",44741,7322.0,273051
"Row0_Row5_Row29",44741,7322.0,273051
"Row0_Row5_Row30",44741,7322.0,273051
"Row0_Row5_Row31",44741,7322.0,273051
"Row0_Row5_Row32",44741,7322.0,273051
"Row0_Row5_Row33",44741,7322.0,273051
"Row0_Row5_Row34",44741,7322.0,273051
"Row0_Row5_Row35",44741,7322.0,273051
"Row0_Row5_Row36",44741,7322.0,273051
"Row0_Row5_Row37",44741,7322.0,273051
"Row0_Row5_Row38",44741,7322.0,273051
"Row0_Row5_Row39",44741,7322.0,273051
"Row0_Row5_Row40",44741,7322.0,273051
"Row0_Row5_Row41",44741,7322.0,273051
"Row0_Row6_Row0",44741,7322.0,273051
"Row0_Row6_Row1",44741,7322.0,273051
"Row0_Row6_Row2",44741,7322.0,273051
"Row0_Row6_Row3",44741,7322.0,273051
"Row0_Row6_Row4",44741,7322.0,273051
"Row0_Row6_Row5",44741,7322.0,273051
"Row0_Row6_Row6",44741,7322.0,273051
"Row0_Row6_Row7",44741,7322.0,273051
"Row0_Row6_Row8",44741,7322.0,273051
"Row0_Row6_Row9",44741,7322.0,273051
"Row0_Row6_Row10",44741,7322.0,273051
"Row0_Row6_Row11",44741,7322.0,273051
"Row0_Row6_Row12",44741,7322.0,273051
"Row0_Row6_Row13",44741,7322.0,273051
"Row0_Row6_Row14",44741,7322.0,273051
"Row0_Row6_Row15",44741,7322.0,273051
"Row0_Row6_Row16",44741,7322.0,273051
"Row0_Row6_Row17",44741,7322.0,273051
"Row0_Row6_Row18",44741,7322.0,273051
"Row0_Row6_Row19",44741,7322.0,273051
"Row0_Row6_Row20",44741,7322.0,273051
"Row0_Row6_Row21",44741,7322.0,273051
"Row0_Row6_Row22",44741,7322.0,273051
"Row0_Row6_Row23",44741,7322.0,273051
"Row0_Row6_Row24",44741,7322.0,273051
"Row0_Row6_Row25",44741,7322.0,273051
"Row0_Row6_Row26",44741,7322.0,273051
"Row0_Row6_Row27",44741,7322.0,273051
"Row0_Row6_Row28",44741,7322.0,273051
"Row0_Row6_Row29",44741,7322.0,273051
"Row0_Row6_Row30",44741,7322.0,273051
"Row0_Row6_Row31",44741,7322.0,273051
"Row0_Row6_Row32",44741,7322.0,273051
"Row0_Row6_Row33",44741,7322.0,273051
"Row0_Row6_Row34",44741,7322.0,273051
"Row0_Row6_Row35",44741,7322.0,273051
"Row0_Row6_Row36",44741,7322.0,273051
"Row0_Row6_Row37",44741,7322.0,273051
"Row0_Row6_Row38",44741,7322.0,273051
"Row0_Row6_Row39",44741,7322.0,273051
"Row0_Row6_Row40",44741,7322.0,273051
"Row0_Row6_Row41",44741,7322.0,273051
