Lat,Long,District,Decision
53.30767647,-6.192439878,Dun Laoghaire Rathdown,REFUSE PERMISSION FOR RETENTION
53.28002261,-6.199800843,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29865771,-6.17762729,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29675478,-6.20825667,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29914751,-6.260920106,Dun Laoghaire Rathdown,GRANT PERMISSION
53.30679562,-6.249177841,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29341444,-6.261831058,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29606278,-6.212821298,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29272856,-6.137664732,Dun Laoghaire Rathdown,GRANT PERMISSION
53.2780116,-6.195794844,Dun Laoghaire Rathdown,GRANT PERMISSION
53.20808451,-6.119826909,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28558019,-6.218310645,Dun Laoghaire Rathdown,GRANT PERMISSION
53.2849138,-6.125958715,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27647147,-6.176997193,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28701427,-6.266692057,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.2878176,-6.130512434,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29060178,-6.200380414,Dun Laoghaire Rathdown,WITHDRAW THE APPLICATION
53.29959233,-6.180935906,Dun Laoghaire Rathdown,REFUSE PERMISSION FOR RETENTION
53.27595818,-6.181457444,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29763864,-6.20142091,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29238316,-6.191602962,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28917936,-6.193826233,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27490688,-6.114248912,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28382039,-6.262098036,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.2896772,-6.133157668,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27439541,-6.190859893,Dun Laoghaire Rathdown,GRANT PERMISSION FOR RETENTION
53.310809,-6.207777372,Dun Laoghaire Rathdown,GRANT PERMISSION
53.3007989,-6.234567771,Dun Laoghaire Rathdown,GRANT PERMISSION
53.258255,-6.159818957,Dun Laoghaire Rathdown,GRANT PERMISSION
53.30412689,-6.251574334,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.25594603,-6.132940344,Dun Laoghaire Rathdown,DECLARE APPLICATION INVALID
53.28480029,-6.123998209,Dun Laoghaire Rathdown,GRANT PERMISSION
53.2656255,-6.19594724,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29189383,-6.135883476,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27711314,-6.117404462,Dun Laoghaire Rathdown,REFUSE PERMISSION FOR RETENTION
53.26175603,-6.20194186,Dun Laoghaire Rathdown,GRANT PERMISSION
53.25812128,-6.219513154,Dun Laoghaire Rathdown,REFUSE PERMISSION FOR RETENTION
53.30864071,-6.23770969,Dun Laoghaire Rathdown,GRANT PERMISSION
53.25808265,-6.188762722,Dun Laoghaire Rathdown,DECLARE INVALID (SITE NOTICE)
53.26504354,-6.154293373,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.28794222,-6.209104443,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28581776,-6.117822813,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28313418,-6.182945674,Dun Laoghaire Rathdown,GRANT PERMISSION & REFUSE PERMISSION
53.25980696,-6.232863857,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29221654,-6.27214705,Dun Laoghaire Rathdown,DECLARE INVALID (SITE NOTICE)
53.28747744,-6.228195763,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27922614,-6.107378678,Dun Laoghaire Rathdown,GRANT PERMISSION
53.30872166,-6.223735871,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27752047,-6.104244362,Dun Laoghaire Rathdown,GRANT PERMISSION
53.25398349,-6.117596772,Dun Laoghaire Rathdown,GRANT PERMISSION
53.23256994,-6.120752169,Dun Laoghaire Rathdown,GRANT PERMISSION
53.2935561,-6.216248641,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27358018,-6.135229514,Dun Laoghaire Rathdown,GRANT PERMISSION
53.30036628,-6.247425224,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28452428,-6.135668698,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28607391,-6.155694006,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28757681,-6.119015194,Dun Laoghaire Rathdown,GRANT PERMISSION
53.2802811,-6.250324687,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28491003,-6.121955322,Dun Laoghaire Rathdown,WITHDRAW THE APPLICATION
53.27536313,-6.114164326,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27630579,-6.115285045,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28484534,-6.254651888,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28236365,-6.271450523,Dun Laoghaire Rathdown,GRANT PERMISSION
53.2763655,-6.165681435,Dun Laoghaire Rathdown,GRANT PERMISSION
