Scheme/Project Name,Funding Programme,LA ,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre-Planning ,Stage 3 Pre-Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,Site Start,Practical Completion
Doonbeg,CAS CONSTRUCTION,Clare  ,12,Kilkee Housing Association,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
Firgrove Harrisons lane,CALF CONSTRUCTION,Cork County,6,Co-operative Ireland,,,,,Scheme started on site in Q3 2016,
"College Manor, Cobh",CALF CONSTRUCTION TURNKEY,Cork County,10,The Housing Association,,,,,,Scheme completed in Q4 2016
"Passage West area, Co. Cork",CALF CONSTRUCTION TURNKEY,Cork County,3,Cluid Housing Association,,,,Approval of turnkey/construction project Q4 2016,,
"Fellowship House, Togher",CAS CONSTRUCTION,Cork County,28,Tabor Lodge Addiction & Housing Services,,,,The scheme was Stage 4 approved in Q2 2016 scheme is now fully approved,,
"Avenue House, Bandon",CAS CONSTRUCTION,Cork County,9,Bandon Geriatric & Community Council,,,,,Scheme started on site in Q3 2016,
"Church View, Love Lane, Charleville",CAS CONSTRUCTION,Cork County,2,Charleville Care Project Ltd,,The scheme was Stage 2 approved in Q2 2015 full design/tender being prepared,,,,
"Church View, Love Lane, Charleville",CAS CONSTRUCTION,Cork County,4,Charleville Care Project Ltd,,The scheme was Stage 2 approved in Q2 2015 full design/tender being prepared,,,,
"Townlands, Rosscarbery",CAS CONSTRUCTION,Cork County,9,Rosscarbery Housing Association,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"Cuan Barra, Kilmore, Ballingeary",CAS CONSTRUCTION,Cork County,3,Coiste Tithe Uibh Laoire Teo,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"Sisters of Mercy Church and Convent at Knocknamuck, Bantry Bay",CAS CONSTRUCTION,Cork County,16,Cluid Housing Association,The scheme was Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
"St. Francis Court, Youghal",CAS CONSTRUCTION,Cork County,4,Respond!  ,The scheme was Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
"Duntahan Road, fermoy",CAS CONSTRUCTION,Cork County,12,Respond!,The scheme was Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
"Brookwood, Kilnagurteen, Macroom, ",CAS CONSTRUCTION,Cork County,1,Anvers Housing Association,The scheme was Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
Castle Treasure Grove,SHIP CONSTRUCTION,Cork County,1,*N/A,The scheme was Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
"Oliver Plunkett Hill, Fermoy",SHIP CONSTRUCTION,Cork County,10,*N/A,,,,,Scheme started on site in Q4 2015,
"Kilnagleary, Carrigaline",SHIP CONSTRUCTION,Cork County,49,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"Fairfield, Macroom",SHIP CONSTRUCTION,Cork County,7,*N/A,,,The scheme was Stage 3 approved in Q4 2016 scheme now being tendered,,,
"Beechgrove, Clonakilty",SHIP CONSTRUCTION,Cork County,56,*N/A,The scheme was Stage 1 approved in Q2 2016 outline design and costs now being prepared,,,,,
"Droum, Castletownbere",SHIP CONSTRUCTION,Cork County,2,*N/A,,The scheme was Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
"Newtown, Bantry",SHIP CONSTRUCTION,Cork County,1,*N/A,The scheme was Stage 1 approved in Q2 2016 outline design and costs now being prepared,,,,,
"Poulavone, Ballincollig",SHIP CONSTRUCTION,Cork County,67,*N/A,The scheme was Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
"Castletreasure, Douglas (P1&2)",SHIP CONSTRUCTION TURNKEY,Cork County,28,*N/A,,,,,Scheme started on site in Q1 2016,
"College Wood, Cobh",SHIP CONSTRUCTION TURNKEY,Cork County,32,*N/A,,,,,Scheme started on site in Q1 2016,
"Castletreasure, Douglas (P3)",SHIP CONSTRUCTION TURNKEY,Cork County,12,*N/A,,,,,Scheme started on site in Q4 2016,
"Crannard, Fermoy",SHIP CONSTRUCTION TURNKEY,Cork County,52,*N/A,,,,Approval of turnkey/construction project Q3 2016,,
Ballincollig ,SHIP CONSTRUCTION TURNKEY,Cork County,34,*N/A,,,,Approval of turnkey/construction project Q1 2016,,
Passage West ,SHIP CONSTRUCTION TURNKEY,Cork County,26,*N/A,,,,Approval of turnkey/construction project Q4 2015,,
Midelton ,SHIP CONSTRUCTION TURNKEY,Cork County,61,*N/A,,,,Approval of turnkey/construction project Q4 2015,,
Bantry,SHIP CONSTRUCTION TURNKEY,Cork County,30,*N/A,,,,Approval of turnkey/construction project Q4 2016,,
Whitechurch,SHIP CONSTRUCTION TURNKEY,Cork County,12,*N/A,,,,Approval of turnkey/construction project Q2 2016,,
"124 Lr. Glanmire Road & 2 Breamer, Cork",CALF CONSTRUCTION,Cork City,6,Galtan Ltd,,,,Approval of turnkey/construction project Q4 2016,,
"Popes Road, Blackpool, Cork City",CALF CONSTRUCTION TURNKEY,Cork City,7,Cluid Housing Association,,,,Approval of turnkey/construction project Q4 2016,,
Cork City area,CALF CONSTRUCTION TURNKEY,Cork City,18,Cluid Housing Association,,,,Approval of turnkey/construction project Q3 2016,,
"Millfield Cottages, Blackpool, Cork",CALF CONSTRUCTION TURNKEY,Cork City,18,Respond!,,,,Approval of turnkey/construction project Q3 2016,,
"Sonamar, Togher, Waterford Road, Cork",CALF CONSTRUCTION TURNKEY,Cork City,8,Respond!,,,,,Scheme started on site in Q4 2016,
"27-29 Dublin Street, Blackpool, Cork",CAS CONSTRUCTION,Cork City,10,Respond!  ,,,,,Scheme started on site in Q4 2016,
"Thomas Davis Street, Cork City",CAS CONSTRUCTION,Cork City,35,Respond!  ,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"Saint Vincent's Convent, Vincent's Ave/St. Mary's St. Cork City",CAS CONSTRUCTION,Cork City,25,Respond!  ,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"Ceanncora Lawn, Ballinlough, Cork",CAS CONSTRUCTION,Cork City,1,Cork Mental Health,,The scheme was Stage 2 approved in Q4 2015 full design/tender being prepared,,,,
"Edel House, Grattan Street",CAS CONSTRUCTION,Cork City,33,Good Shepherd Services Ltd,,The scheme was Stage 2 approved in Q1 2016 full design/tender being prepared,,,,
"St. Joachim & Anne's, Anglesea St",CAS CONSTRUCTION,Cork City,8,Cork Simon,,The scheme was Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
Phase 1 B Knocknaheeny,REGENERATION,Cork City,29,*N/A,,,,,Scheme started on site in Q1 2016,
Phase 2 A Knocknaheeny,REGENERATION,Cork City,47,*N/A,,The scheme was Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
"Deanrock, Togher",SHIP CONSTRUCTION,Cork City,66,*N/A,,The scheme was Stage 2 approved in Q2 2016 full design/tender being prepared,,,,
Gerald Griffin Street,SHIP CONSTRUCTION,Cork City,40,*N/A,,The scheme was Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
Cappanoole,SHIP CONSTRUCTION,Cork City,2,*N/A,,,,,,Scheme completed in Q4 2016
St. Johns Well,SHIP CONSTRUCTION,Cork City,6,*N/A,,The scheme was Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
Shandon Street/John Philpott Curran Street,SHIP CONSTRUCTION,Cork City,9,*N/A,The scheme was Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
