Official Name,Add_1,Add_2,Add_3,County,Ethos,DEIS,Number of Males in 2014,Number of Females in 2014,Total number of Students in 2014,xcoord,ycoord,Long,Lat,Roll_No
LIMERICK SCHOOL PROJECT,O'CONNELL AVENUE,LIMERICK,,Limerick,MULTI DENOMINATIONAL,N,115,108,223,157168,156372,-8.63304,52.6569,19934L
GAELSCOIL SAIRSEAL,SRAID AN DROICHID,LUIMNEACH,,Limerick,CATHOLIC,N,106,137,243,157898,157514,-8.62239,52.6672,19956V
Presentation Primary School,SEXTON STREET,LIMERICK,,Limerick,CATHOLIC,Y,48,187,235,157940,156595,-8.62166,52.659,20018H
GAELSCOIL AN RAITHIN,DOORADOYLE ROAD,LIMERICK CITY,,Limerick,CATHOLIC,N,119,146,265,156313,153864,-8.64534,52.6343,20181S
GALVONE NS,KENNEDY PARK,LIMERICK CITY,,Limerick,CATHOLIC,Y,59,77,136,158504,155635,-8.6132,52.6504,20184B
St Mary's National School,Island Road,Limerick,,Limerick,CATHOLIC,Y,48,50,98,157997.13,157767.54,-8.62096,52.6695,20405O
CROAGH NATIONAL SCHOOL,RATHKEALE,CO LIMERICK,,Limerick,CATHOLIC,N,38,38,76,140784,142873,-8.87274,52.5341,02007A
TEMPLEGLANTINE N S,TEMPLEGLANTINE,CO LIMERICK,,Limerick,CATHOLIC,N,39,50,89,119741,127640,-9.17916,52.3945,02358G
S N SHEANAIN,FOYNES,CO LIMERICK,,Limerick,CATHOLIC,N,62,66,128,125180,151360,-9.10459,52.6084,02813E
BALLYMARTIN N S,CROOM,KILMALLOCK,CO LIMERICK,Limerick,CATHOLIC,N,42,50,92,155677,142435,-8.6532,52.5316,04466T
S N FIODHNACH,KILLMALLOCK,CO LIMERICK,,Limerick,CATHOLIC,N,43,37,80,140551,126502,-8.87326,52.3869,04469C
KILDIMO NATIONAL SCHOOL,KILDIMO,CO LIMERICK,,Limerick,CATHOLIC,N,77,98,175,145083,152484,-8.81098,52.6209,06516S
KNOCKEA NATIONAL SCHOOL,BALLYNEETY,CO LIMERICK,,Limerick,CATHOLIC,N,109,97,206,161277,150650,-8.57164,52.6058,06539H
S N LOCH GUIR,HOLY CROSS,KILLMALLOCK,CO LIMERICK,Limerick,CATHOLIC,N,15,24,39,165578,139394,-8.50698,52.5049,07117J
BANOGUE NATIONAL SCHOOL,CROOM,CO LIMERICK,,Limerick,CATHOLIC,N,33,21,54,151950,136789,-8.70731,52.4805,07222G
GLENGURT N S,TOORNAFULLA,CO LIMERICK,,Limerick,CATHOLIC,N,31,43,74,120789,124047,-9.16291,52.3624,07317R
S N AILBHE,KILLINURE,LIMERICK,,Limerick,CATHOLIC,N,93,63,156,170452,151440,-8.43627,52.6135,07857D
BALLYSTEEN N S,ASKEATON,CO LIMERICK,,Limerick,CATHOLIC,N,15,13,28,135623,155446,-8.95124,52.6465,07900B
BOHERMORE N S,BALLYSIMON,CO LIMERICK,,Limerick,CATHOLIC,N,15,18,33,164471,151172,-8.52455,52.6107,08342V
ARDPATRICK N S,KILLMALLOCK,CO LIMERICK,,Limerick,CATHOLIC,N,38,33,71,164676,121387,-8.51837,52.343,08419H
BRUREE NATIONAL SCHOOL,BRUREE,CO LIMERICK,,Limerick,CATHOLIC,N,84,77,161,155860,130313,-8.6489,52.4226,08572P
ST NICHOLAS CHURCH OF IRELAND SCHOO,ADARE,CO LIMERICK,,Limerick,CHURCH OF IRELAND,N,32,32,64,146823,146503,-8.78433,52.5673,08926B
CARNANE MXD N S,FEDAMORE,KILMALLOCK,CO LIMERICK,Limerick,CATHOLIC,N,45,33,78,160640,146771,-8.58058,52.5709,09132P
OUR LADYS ABBEY,SCOIL NA GCAILINI,ADARE,CO LIMERICK,Limerick,CATHOLIC,N,0,126,126,146578,146252,-8.7879,52.565,09296W
CROOM NATIONAL SCHOOL,CROOM,CO LIMERICK,,Limerick,CATHOLIC,N,78,69,147,151631,141256,-8.71266,52.5206,09306W
MONOGAY NATIONAL SCHOOL,NEWCASTLEWEST,CO LIMERICK,,Limerick,CATHOLIC,N,73,69,142,126020,130092,-9.08747,52.4174,09401Q
ST JAMES N S,CAPPAGH,ASKEATON,CO LIMERICK,Limerick,CATHOLIC,N,65,59,124,137042,145103,-8.92831,52.5537,09702H
MARTINSTOWN N S,KILLMALLOCK,CO LIMERICK,,Limerick,CATHOLIC,N,36,30,66,167445,127366,-8.47831,52.397,09915B
GRANAGH NATIONAL SCHOOL,GRANAGH,KILMALLOCK,CO LIMERICK,Limerick,CATHOLIC,N,45,24,69,148145,134427,-8.76295,52.4589,09927I
RATHKEALE N S 2,RATHKEALE,CO LIMERICK,,Limerick,CHURCH OF IRELAND,N,11,14,25,135914,141195,-8.94418,52.5184,10929T
GARRYDOOLIS N S,PALLASAGREEN,CO LIMERICK,,Limerick,CATHOLIC,N,15,21,36,177240,139649,-8.33524,52.5078,10991B
CARRICKERRY N S,ATHEA,CO LIMERICK,,Limerick,CATHOLIC,N,27,18,45,122017,138471,-9.14825,52.4922,11280T
BALLYGUILTENANE N S,GLIN,CO LIMERICK,,Limerick,CATHOLIC,N,18,19,37,112429,142164,-9.29036,52.5239,11307N
MAHOONAGH N S,CASTLEMAHON,LIMERICK,,Limerick,CATHOLIC,N,98,85,183,131380,131480,-9.00897,52.4306,11422N
S N CNOCH A DEAGA,BALLYLANDERS,CO LIMERICK,,Limerick,CATHOLIC,N,14,10,24,176695,119688,-8.34188,52.3284,11809O
COOLCAPPA N S,ARDAGH,CO LIMERICK,,Limerick,CATHOLIC,N,21,18,39,130938,142063,-9.01766,52.5256,11955C
S N NAOMH PADRAIG,ABBEYFEALE,CO LIMERICK,,Limerick,CATHOLIC,N,23,15,38,111549,130198,-9.30016,52.4162,12368P
GLENBROHANE N S,GARRYSPILLANE,KILLMALLOCK,CO LIMERICK,Limerick,CATHOLIC,N,49,31,80,173649,126193,-8.38707,52.3867,12613C
PALLASKENRY N S,PALLASKENRY N S,CO LIMERICK,,Limerick,CATHOLIC,N,88,72,160,141306,154574,-8.86712,52.6393,12631E
ST JOSEPHS CONVENT,NEWCASTLE WEST,CO LIMERICK,,Limerick,CATHOLIC,N,2,230,232,128013,133417,-9.05889,52.4476,12975N
KILFINANE CONVENT PRIMARY SCHOOL,KILFINANE,CO LIMERICK,,Limerick,CATHOLIC,N,73,73,146,167959,123230,-8.47037,52.3598,13026P
S N GALLBHAILE,GALBALLY,CO TIPPERARY,,Limerick,CATHOLIC,N,60,62,122,179963,127553,-8.29441,52.3992,13459A
BULGADEN N S,BULGADEN,KILMALLOCK,CO LIMERICK,Limerick,CATHOLIC,N,30,18,48,164210,130206,-8.52614,52.4223,13790G
