Official Name,Add_1,Add_2,Add_3,County,Ethos,DEIS,Number of Males in 2014,Number of Females in 2014,Total number of Students in 2014,xcoord,ycoord,Long,Lat,Roll_No
S N EOIN BAISDE G SEN,SEAFIELD ROAD,CLONTARF,DUBLIN 3,Dublin,Catholic,N,0,424,424,320045,236315,-6.19651,53.3634,17148D
CLOCHAR LUGHAIDH CAILIN,WILLIAMS PARK,RATHMINES,DUBLIN 6,Dublin,Catholic,N,185,185,370,315418,231843,-6.26761,53.3243,17210F
CLOCHAR LUGHAIDH NAOIDH,WILLIAMS PARK,RATHMINES,DUBLIN 6,Dublin,Catholic,N,159,151,310,315483,231860,-6.26663,53.3244,17211H
St. Vincent's Primary School,Christian Brothers,Glasnevin,Dublin 11,Dublin,Catholic,N,314,0,314,314874,236635,-6.27404,53.3674,17214N
SCOIL MUIRE,HADDINGTON ROAD,DUBLIN 4,,Dublin,Catholic,Y,164,0,164,317228,232976,-6.24004,53.334,17279S
SCOIL AN LEINBH IOSA B,LARKHILL,WHITEHALL,DUBLIN 9,Dublin,Catholic,N,208,0,208,316750,238593,-6.24514,53.3846,17318C
MUIRE NA DEA COIRLE G,MOURNE ROAD,DRIMNAGH,DUBLIN 12,Dublin,Catholic,Y,8,129,137,312081,232390,-6.31748,53.3299,17355I
MUIRE NA DEA COIRLE INF,MOURNE ROAD,DUBLIN 12,112,Dublin,Catholic,Y,79,70,149,312183,232437,-6.31594,53.3303,17356K
SCOIL MHUIRE GNS,NAVAN ROAD,DUBLIN 7,107,Dublin,Catholic,N,0,430,430,312624,237025,-6.30769,53.3714,17367P
CHRIST THE KING I G,CABRA,DUBLIN 7,107,Dublin,Catholic,Y,0,57,57,314115,236166,-6.28561,53.3634,17459U
"FIONNBARRA NAOFA B.N.S.,",Kilkieran Road,Cabra West,Dublin 7,Dublin,Catholic,Y,135,0,135,313369,236761,-6.29659,53.3689,17464N
DOMINICAN CONVENT GIRLS,CABRA,DUBLIN 7,107,Dublin,Catholic,Y,0,155,155,312687,236844,-6.30681,53.3698,17465P
ST CATHERINES INFANT SCHOOL,CABRA,DUBLIN 7,107,Dublin,Catholic,Y,47,135,182,312726,236881,-6.30621,53.3701,17466R
SCOIL IOSAGAIN,AUGHAVANNAGH ROAD,CRUMLIN,DUBLIN 12,Dublin,Catholic,Y,101,0,101,314154,232427,-6.28637,53.3298,17603B
MUIRE OG 2 LORETO CON,CRUMLIN ROAD,DUBLIN 12,112,Dublin,Catholic,Y,68,147,215,313545,232429,-6.2955,53.3299,17683C
S N NA LANAI GLASA,SEAFIELD AVENUE,CLONTARF,DUBLIN 3,Dublin,CHURCH OF IRELAND,N,131,113,244,320574,236524,-6.18848,53.3652,17730I
SCOIL CHIARAIN,ASCAL UI CHOILEAIN,DOMHNACH CAIRNE,BAILE ATHA CLIATH 5,Dublin,Catholic,Y,118,0,118,318858,237437,-6.21391,53.3737,17732M
SCOIL UI CHONAILL,NTH RICHMOND STREET,DUBLIN 1,101,Dublin,Catholic,Y,167,0,167,316484,235643,-6.25023,53.3582,17881G
SCOIL MHUIRE,MOUNT SACKVILLE CONVENT,CHAPELIZOD,DUBLIN 20,Dublin,Catholic,N,0,248,248,309312,235681,-6.3579,53.36,17891J
SANCTA MARIA C B S,SYNGE ST,DUBLIN 8,108,Dublin,Catholic,Y,81,0,81,315483,232829,-6.26628,53.3331,17893N
S N EOIN BOSCO BUACH,NAVAN ROAD,DUBLIN 7,107,Dublin,Catholic,N,361,0,361,312271,236597,-6.31314,53.3676,17912O
S N EOIN BAISDE B SIN,SEAFIELD RD,CLONTARF,DUBLIN 3,Dublin,Catholic,N,326,0,326,319915,236331,-6.19845,53.3636,17936F
SCOIL ASSAIM B,RAHENY,DUBLIN 5,105,Dublin,Catholic,N,272,0,272,321376,238002,-6.17587,53.3783,17976R
SCOIL AINE C,RAHENY,DUBLIN 5,105,Dublin,Catholic,N,0,319,319,321340,237986,-6.17642,53.3781,17977T
NAISCOIL IDE,ALL SAINTS DRIVE,RAHENY,DUBLIN 5,Dublin,Catholic,N,163,231,394,321280,237936,-6.17734,53.3777,17978V
S N NAOMH FEARGAL,FINGLAS WEST,DUBLIN 11,,Dublin,Catholic,Y,105,0,105,312705,238805,-6.30584,53.3874,18137D
SN MUIRE NA FREASTOGALA,SIURACHA NA CARTHANACHR,BAILE UAILCIN,BAILE ATHA CLIATH 12,Dublin,Catholic,N,0,190,190,311189,231564,-6.33116,53.3227,18170B
